Cycle	Protocol	Energy	Improvement
0	Initial	6.10	0.00
1	FastRelax	5.61	0.49
1	Repack	104.62	-98.52
1	Minimize	12.22	-6.13
2	Repack	15.81	-9.71
2	Minimize	11.45	-5.35
3	Repack	14.93	-8.84
3	Minimize	11.46	-5.36
4	Repack	14.95	-8.86
4	Minimize	11.46	-5.36
5	Repack	14.94	-8.84
5	Minimize	11.46	-5.36
6	Repack	14.94	-8.84
6	Minimize	11.46	-5.36
7	Repack	14.95	-8.86
7	Minimize	11.46	-5.36
8	Repack	14.94	-8.85
8	Minimize	11.46	-5.36
9	Repack	14.94	-8.85
9	Minimize	11.46	-5.36
10	Repack	14.95	-8.86
10	Minimize	11.46	-5.36
11	Repack	14.96	-8.86
11	Minimize	11.46	-5.36
12	Repack	14.95	-8.86
12	Minimize	11.46	-5.36
13	Repack	14.94	-8.85
13	Minimize	11.46	-5.36
14	Repack	14.95	-8.85
14	Minimize	11.46	-5.36
15	Repack	14.94	-8.84
15	Minimize	11.46	-5.36
16	Repack	14.95	-8.85
16	Minimize	11.46	-5.36
17	Repack	14.94	-8.84
17	Minimize	11.50	-5.41
18	Repack	15.06	-8.96
18	Minimize	11.48	-5.38
19	Repack	15.07	-8.97
19	Minimize	11.46	-5.36
20	Repack	14.95	-8.85
20	Minimize	11.46	-5.36
21	Repack	14.95	-8.85
21	Minimize	11.46	-5.36
22	Repack	14.95	-8.85
22	Minimize	11.46	-5.36
23	Repack	14.95	-8.86
23	Minimize	11.46	-5.36
24	Repack	14.93	-8.83
24	Minimize	11.46	-5.36
25	Repack	14.95	-8.86
25	Minimize	11.46	-5.36
