Cycle	Protocol	Energy	Improvement
0	Initial	0.23	0.00
1	FastRelax	-2.02	2.24
1	Repack	509.97	-509.75
1	Minimize	-0.17	0.40
2	Repack	3.57	-3.34
2	Minimize	-0.17	0.40
3	Repack	3.54	-3.31
3	Minimize	-0.17	0.40
4	Repack	3.54	-3.32
4	Minimize	-0.17	0.40
5	Repack	3.55	-3.33
5	Minimize	-0.17	0.40
6	Repack	3.54	-3.31
6	Minimize	-0.17	0.40
7	Repack	3.54	-3.31
7	Minimize	-0.17	0.40
8	Repack	3.54	-3.31
8	Minimize	-0.17	0.40
9	Repack	3.56	-3.33
9	Minimize	-0.17	0.40
10	Repack	3.54	-3.32
10	Minimize	-0.17	0.40
11	Repack	3.54	-3.32
11	Minimize	-0.17	0.40
12	Repack	3.56	-3.33
12	Minimize	-0.17	0.40
13	Repack	3.54	-3.31
13	Minimize	-0.17	0.40
14	Repack	3.55	-3.32
14	Minimize	-0.17	0.40
15	Repack	3.54	-3.31
15	Minimize	-0.18	0.40
16	Repack	3.56	-3.34
16	Minimize	-0.17	0.40
17	Repack	3.54	-3.31
17	Minimize	-0.17	0.40
18	Repack	3.54	-3.31
18	Minimize	-0.17	0.40
19	Repack	3.54	-3.32
19	Minimize	-0.17	0.40
20	Repack	3.55	-3.32
20	Minimize	-0.17	0.40
21	Repack	3.54	-3.32
21	Minimize	-0.17	0.40
22	Repack	3.55	-3.32
22	Minimize	-0.17	0.40
23	Repack	3.54	-3.31
23	Minimize	-0.17	0.40
24	Repack	3.55	-3.32
24	Minimize	-0.17	0.40
25	Repack	3.54	-3.32
25	Minimize	-0.17	0.40
