Cycle	Protocol	Energy	Improvement
0	Initial	-8.31	0.00
1	FastRelax	-15.10	6.79
1	Repack	1.33	-9.64
1	Minimize	-12.53	4.22
2	Repack	-5.92	-2.39
2	Minimize	-12.60	4.29
3	Repack	-6.10	-2.21
3	Minimize	-12.60	4.29
4	Repack	-6.24	-2.06
4	Minimize	-12.62	4.31
5	Repack	-6.07	-2.24
5	Minimize	-12.60	4.29
6	Repack	-6.26	-2.05
6	Minimize	-12.62	4.31
7	Repack	-6.09	-2.22
7	Minimize	-12.60	4.29
8	Repack	-6.25	-2.06
8	Minimize	-12.62	4.31
9	Repack	-6.05	-2.26
9	Minimize	-12.58	4.27
10	Repack	-6.25	-2.06
10	Minimize	-12.62	4.31
11	Repack	-6.08	-2.23
11	Minimize	-12.60	4.29
12	Repack	-6.23	-2.08
12	Minimize	-12.62	4.31
13	Repack	-6.08	-2.23
13	Minimize	-12.60	4.29
14	Repack	-6.24	-2.07
14	Minimize	-12.62	4.31
15	Repack	-6.09	-2.22
15	Minimize	-12.57	4.26
16	Repack	-6.28	-2.03
16	Minimize	-12.62	4.31
17	Repack	-6.08	-2.23
17	Minimize	-12.60	4.29
18	Repack	-6.24	-2.07
18	Minimize	-12.62	4.31
19	Repack	-6.08	-2.23
19	Minimize	-12.60	4.29
20	Repack	-6.25	-2.06
20	Minimize	-12.62	4.31
21	Repack	-6.06	-2.25
21	Minimize	-12.60	4.29
22	Repack	-6.23	-2.08
22	Minimize	-12.61	4.30
23	Repack	-6.10	-2.21
23	Minimize	-12.58	4.27
24	Repack	-6.26	-2.05
24	Minimize	-12.62	4.31
25	Repack	-6.08	-2.23
25	Minimize	-12.59	4.28
