Cycle	Protocol	Energy	Improvement
0	Initial	22.66	0.00
1	FastRelax	10.35	12.32
1	Repack	52.26	-29.60
1	Minimize	14.84	7.82
2	Repack	19.39	3.28
2	Minimize	14.20	8.46
3	Repack	19.34	3.33
3	Minimize	14.24	8.42
4	Repack	19.19	3.47
4	Minimize	14.24	8.42
5	Repack	19.14	3.52
5	Minimize	14.24	8.42
6	Repack	19.19	3.47
6	Minimize	14.23	8.43
7	Repack	19.22	3.44
7	Minimize	14.24	8.43
8	Repack	19.17	3.49
8	Minimize	14.25	8.42
9	Repack	19.57	3.10
9	Minimize	14.50	8.16
10	Repack	19.34	3.33
10	Minimize	14.24	8.43
11	Repack	19.18	3.48
11	Minimize	14.24	8.43
12	Repack	19.63	3.03
12	Minimize	14.50	8.16
13	Repack	19.29	3.38
13	Minimize	15.60	7.06
14	Repack	15.91	6.76
14	Minimize	14.24	8.42
15	Repack	19.16	3.51
15	Minimize	14.24	8.42
16	Repack	19.11	3.55
16	Minimize	14.09	8.57
17	Repack	18.62	4.04
17	Minimize	14.17	8.50
18	Repack	18.70	3.96
18	Minimize	14.17	8.49
19	Repack	19.09	3.57
19	Minimize	14.43	8.23
20	Repack	19.07	3.59
20	Minimize	14.43	8.24
21	Repack	18.85	3.82
21	Minimize	14.17	8.49
22	Repack	18.74	3.93
22	Minimize	14.17	8.49
23	Repack	19.12	3.54
23	Minimize	14.44	8.22
24	Repack	19.38	3.28
24	Minimize	14.43	8.24
25	Repack	18.89	3.77
25	Minimize	14.18	8.49
