Cycle	Protocol	Energy	Improvement
0	Initial	21.44	0.00
1	FastRelax	5.77	15.67
1	Repack	28.50	-7.06
1	Minimize	6.55	14.89
2	Repack	7.19	14.25
2	Minimize	6.56	14.88
3	Repack	7.15	14.29
3	Minimize	6.56	14.88
4	Repack	7.16	14.28
4	Minimize	6.56	14.88
5	Repack	7.16	14.28
5	Minimize	6.56	14.88
6	Repack	7.16	14.29
6	Minimize	6.56	14.88
7	Repack	7.17	14.27
7	Minimize	6.56	14.88
8	Repack	7.16	14.28
8	Minimize	6.56	14.88
9	Repack	7.16	14.28
9	Minimize	6.56	14.88
10	Repack	7.16	14.28
10	Minimize	6.56	14.88
11	Repack	7.16	14.28
11	Minimize	6.56	14.88
12	Repack	7.16	14.28
12	Minimize	6.56	14.88
13	Repack	7.16	14.28
13	Minimize	6.56	14.88
14	Repack	7.16	14.28
14	Minimize	6.56	14.88
15	Repack	7.17	14.27
15	Minimize	6.56	14.88
16	Repack	7.16	14.28
16	Minimize	6.56	14.88
17	Repack	7.16	14.28
17	Minimize	6.56	14.88
18	Repack	7.16	14.28
18	Minimize	6.56	14.88
19	Repack	7.16	14.28
19	Minimize	6.56	14.88
20	Repack	7.16	14.28
20	Minimize	6.56	14.88
21	Repack	7.16	14.28
21	Minimize	6.56	14.88
22	Repack	7.16	14.28
22	Minimize	6.56	14.88
23	Repack	7.17	14.27
23	Minimize	6.56	14.88
24	Repack	7.17	14.27
24	Minimize	6.56	14.88
25	Repack	7.17	14.27
25	Minimize	6.56	14.88
