Cycle	Protocol	Energy	Improvement
0	Initial	1.98	0.00
1	FastRelax	1.04	0.94
1	Repack	28.27	-26.29
1	Minimize	7.32	-5.34
2	Repack	23.56	-21.58
2	Minimize	5.60	-3.62
3	Repack	23.14	-21.16
3	Minimize	5.65	-3.67
4	Repack	23.08	-21.10
4	Minimize	5.64	-3.66
5	Repack	22.71	-20.72
5	Minimize	5.61	-3.62
6	Repack	22.65	-20.67
6	Minimize	5.63	-3.65
7	Repack	22.31	-20.33
7	Minimize	5.65	-3.67
8	Repack	23.02	-21.04
8	Minimize	5.60	-3.62
9	Repack	23.12	-21.14
9	Minimize	5.60	-3.62
10	Repack	22.89	-20.91
10	Minimize	5.75	-3.77
11	Repack	24.65	-22.67
11	Minimize	5.61	-3.63
12	Repack	22.61	-20.63
12	Minimize	5.60	-3.62
13	Repack	23.06	-21.08
13	Minimize	5.67	-3.68
14	Repack	22.99	-21.01
14	Minimize	5.60	-3.62
15	Repack	23.25	-21.27
15	Minimize	5.73	-3.75
16	Repack	23.46	-21.48
16	Minimize	5.67	-3.69
17	Repack	22.80	-20.82
17	Minimize	5.76	-3.78
18	Repack	24.78	-22.80
18	Minimize	5.60	-3.62
19	Repack	22.97	-20.99
19	Minimize	5.70	-3.72
20	Repack	22.96	-20.98
20	Minimize	5.69	-3.71
21	Repack	23.28	-21.30
21	Minimize	5.72	-3.74
22	Repack	22.72	-20.74
22	Minimize	5.60	-3.62
23	Repack	22.94	-20.96
23	Minimize	5.73	-3.75
24	Repack	23.35	-21.37
24	Minimize	5.70	-3.72
25	Repack	22.83	-20.84
25	Minimize	5.72	-3.74
