Cycle	Protocol	Energy	Improvement
0	Initial	-1.82	0.00
1	FastRelax	-17.54	15.73
1	Repack	27.63	-29.45
1	Minimize	-11.33	9.51
2	Repack	-5.60	3.78
2	Minimize	-14.74	12.92
3	Repack	-6.35	4.53
3	Minimize	-14.72	12.90
4	Repack	-6.62	4.80
4	Minimize	-14.71	12.90
5	Repack	-6.62	4.80
5	Minimize	-14.52	12.70
6	Repack	-6.69	4.87
6	Minimize	-14.72	12.90
7	Repack	-6.66	4.85
7	Minimize	-13.88	12.06
8	Repack	-6.91	5.09
8	Minimize	-14.71	12.89
9	Repack	-6.57	4.75
9	Minimize	-14.54	12.72
10	Repack	-6.49	4.67
10	Minimize	-14.72	12.90
11	Repack	-6.63	4.81
11	Minimize	-14.71	12.89
12	Repack	-6.58	4.77
12	Minimize	-14.72	12.90
13	Repack	-6.57	4.75
13	Minimize	-14.71	12.90
14	Repack	-6.60	4.78
14	Minimize	-14.59	12.77
15	Repack	-6.49	4.68
15	Minimize	-14.70	12.88
16	Repack	-6.55	4.73
16	Minimize	-14.71	12.89
17	Repack	-6.66	4.84
17	Minimize	-14.04	12.22
18	Repack	-6.91	5.10
18	Minimize	-14.70	12.88
19	Repack	-6.77	4.96
19	Minimize	-15.04	13.22
20	Repack	-9.26	7.44
20	Minimize	-15.17	13.36
21	Repack	-10.40	8.58
21	Minimize	-15.19	13.37
22	Repack	-10.43	8.61
22	Minimize	-15.19	13.37
23	Repack	-10.43	8.61
23	Minimize	-15.19	13.37
24	Repack	-10.44	8.62
24	Minimize	-15.19	13.37
25	Repack	-10.44	8.63
25	Minimize	-15.19	13.37
