Cycle	Protocol	Energy	Improvement
0	Initial	-6.28	0.00
1	FastRelax	-14.30	8.03
1	Repack	174.17	-180.44
1	Minimize	1.64	-7.92
2	Repack	20.03	-26.31
2	Minimize	-1.70	-4.57
3	Repack	19.88	-26.15
3	Minimize	-1.77	-4.50
4	Repack	19.14	-25.42
4	Minimize	-2.39	-3.89
5	Repack	19.30	-25.57
5	Minimize	-2.34	-3.93
6	Repack	19.48	-25.76
6	Minimize	-2.39	-3.88
7	Repack	19.42	-25.70
7	Minimize	-2.39	-3.88
8	Repack	19.48	-25.75
8	Minimize	-2.39	-3.88
9	Repack	19.45	-25.73
9	Minimize	-2.39	-3.88
10	Repack	19.45	-25.73
10	Minimize	-2.29	-3.99
11	Repack	19.02	-25.30
11	Minimize	-2.39	-3.88
12	Repack	19.40	-25.68
12	Minimize	-2.39	-3.88
13	Repack	19.48	-25.76
13	Minimize	-2.39	-3.88
14	Repack	19.49	-25.76
14	Minimize	-2.32	-3.96
15	Repack	19.53	-25.81
15	Minimize	-1.78	-4.50
16	Repack	19.29	-25.56
16	Minimize	-2.32	-3.96
17	Repack	19.58	-25.86
17	Minimize	-2.39	-3.88
18	Repack	19.36	-25.64
18	Minimize	-2.32	-3.96
19	Repack	19.65	-25.93
19	Minimize	-0.47	-5.81
20	Repack	20.35	-26.63
20	Minimize	-1.43	-4.85
21	Repack	20.79	-27.07
21	Minimize	-0.32	-5.95
22	Repack	20.74	-27.01
22	Minimize	-0.32	-5.95
23	Repack	20.64	-26.92
23	Minimize	-0.32	-5.95
24	Repack	20.72	-27.00
24	Minimize	-0.32	-5.95
25	Repack	20.73	-27.01
25	Minimize	-0.32	-5.95
