Cycle	Protocol	Energy	Improvement
0	Initial	19.41	0.00
1	FastRelax	9.50	9.91
1	Repack	362.88	-343.47
1	Minimize	11.49	7.93
2	Repack	232.14	-212.73
2	Minimize	11.48	7.93
3	Repack	229.61	-210.20
3	Minimize	11.47	7.94
4	Repack	232.44	-213.03
4	Minimize	11.47	7.94
5	Repack	233.37	-213.96
5	Minimize	16.30	3.11
6	Repack	126.21	-106.80
6	Minimize	15.93	3.49
7	Repack	56.28	-36.86
7	Minimize	15.10	4.31
8	Repack	43.72	-24.31
8	Minimize	13.29	6.12
9	Repack	14.36	5.05
9	Minimize	9.37	10.04
10	Repack	15.20	4.21
10	Minimize	7.82	11.60
11	Repack	16.55	2.86
11	Minimize	9.10	10.31
12	Repack	15.00	4.41
12	Minimize	7.84	11.57
13	Repack	18.18	1.23
13	Minimize	7.81	11.60
14	Repack	16.44	2.97
14	Minimize	8.13	11.28
15	Repack	17.57	1.84
15	Minimize	9.26	10.15
16	Repack	14.15	5.26
16	Minimize	7.81	11.60
17	Repack	16.60	2.81
17	Minimize	7.81	11.60
18	Repack	16.31	3.10
18	Minimize	7.82	11.60
19	Repack	16.76	2.66
19	Minimize	7.82	11.59
20	Repack	16.37	3.04
20	Minimize	7.93	11.48
21	Repack	17.21	2.20
21	Minimize	8.54	10.87
22	Repack	14.56	4.85
22	Minimize	7.81	11.60
23	Repack	16.55	2.86
23	Minimize	8.03	11.38
24	Repack	15.43	3.98
24	Minimize	7.82	11.59
25	Repack	16.45	2.96
25	Minimize	7.82	11.59
