Cycle	Protocol	Energy	Improvement
0	Initial	22.34	0.00
1	FastRelax	16.53	5.81
1	Repack	61.78	-39.45
1	Minimize	15.99	6.35
2	Repack	26.20	-3.87
2	Minimize	14.81	7.53
3	Repack	25.79	-3.45
3	Minimize	14.78	7.56
4	Repack	25.76	-3.42
4	Minimize	14.78	7.56
5	Repack	25.81	-3.47
5	Minimize	14.77	7.56
6	Repack	25.75	-3.42
6	Minimize	14.75	7.58
7	Repack	25.65	-3.31
7	Minimize	16.02	6.31
8	Repack	26.57	-4.23
8	Minimize	14.85	7.49
9	Repack	25.62	-3.28
9	Minimize	14.75	7.58
10	Repack	25.62	-3.29
10	Minimize	14.74	7.60
11	Repack	25.67	-3.34
11	Minimize	14.72	7.61
12	Repack	25.78	-3.45
12	Minimize	14.71	7.63
13	Repack	25.81	-3.47
13	Minimize	14.72	7.61
14	Repack	25.80	-3.47
14	Minimize	14.74	7.59
15	Repack	25.61	-3.27
15	Minimize	14.71	7.63
16	Repack	25.80	-3.47
16	Minimize	14.73	7.61
17	Repack	25.88	-3.54
17	Minimize	14.73	7.60
18	Repack	25.79	-3.45
18	Minimize	14.71	7.63
19	Repack	25.81	-3.47
19	Minimize	14.73	7.60
20	Repack	25.78	-3.44
20	Minimize	14.74	7.60
21	Repack	25.82	-3.48
21	Minimize	14.73	7.60
22	Repack	25.83	-3.50
22	Minimize	14.72	7.62
23	Repack	25.90	-3.57
23	Minimize	14.73	7.61
24	Repack	25.88	-3.54
24	Minimize	14.75	7.59
25	Repack	25.60	-3.26
25	Minimize	14.71	7.63
