Cycle	Protocol	Energy	Improvement
0	Initial	15.19	0.00
1	FastRelax	7.86	7.33
1	Repack	24.38	-9.19
1	Minimize	10.19	5.00
2	Repack	14.16	1.03
2	Minimize	10.18	5.01
3	Repack	13.71	1.48
3	Minimize	10.16	5.03
4	Repack	13.82	1.37
4	Minimize	10.15	5.04
5	Repack	13.84	1.35
5	Minimize	10.15	5.04
6	Repack	13.85	1.34
6	Minimize	10.15	5.04
7	Repack	13.84	1.35
7	Minimize	10.15	5.04
8	Repack	13.83	1.36
8	Minimize	10.15	5.04
9	Repack	13.83	1.35
9	Minimize	10.16	5.03
10	Repack	13.76	1.43
10	Minimize	10.15	5.04
11	Repack	13.84	1.35
11	Minimize	10.15	5.04
12	Repack	13.82	1.36
12	Minimize	10.15	5.04
13	Repack	13.83	1.36
13	Minimize	10.16	5.03
14	Repack	13.79	1.40
14	Minimize	10.15	5.04
15	Repack	13.84	1.35
15	Minimize	10.15	5.04
16	Repack	13.83	1.36
16	Minimize	10.15	5.04
17	Repack	13.84	1.35
17	Minimize	10.15	5.04
18	Repack	15.30	-0.11
18	Minimize	10.92	4.27
19	Repack	15.07	0.12
19	Minimize	10.15	5.04
20	Repack	13.77	1.42
20	Minimize	10.14	5.04
21	Repack	13.77	1.42
21	Minimize	10.15	5.04
22	Repack	13.81	1.38
22	Minimize	10.15	5.04
23	Repack	13.82	1.37
23	Minimize	10.15	5.04
24	Repack	13.84	1.35
24	Minimize	10.15	5.04
25	Repack	13.83	1.36
25	Minimize	10.15	5.04
