Cycle	Protocol	Energy	Improvement
0	Initial	18.21	0.00
1	FastRelax	3.55	14.66
1	Repack	42.97	-24.76
1	Minimize	6.98	11.24
2	Repack	17.14	1.07
2	Minimize	6.97	11.24
3	Repack	17.44	0.77
3	Minimize	6.97	11.24
4	Repack	17.37	0.84
4	Minimize	6.96	11.25
5	Repack	17.52	0.69
5	Minimize	6.97	11.24
6	Repack	17.39	0.82
6	Minimize	6.97	11.24
7	Repack	17.42	0.79
7	Minimize	6.97	11.25
8	Repack	17.42	0.79
8	Minimize	6.97	11.25
9	Repack	17.41	0.80
9	Minimize	6.97	11.24
10	Repack	17.40	0.81
10	Minimize	6.97	11.25
11	Repack	17.41	0.80
11	Minimize	6.97	11.24
12	Repack	17.41	0.80
12	Minimize	6.97	11.24
13	Repack	17.41	0.80
13	Minimize	6.97	11.24
14	Repack	17.40	0.81
14	Minimize	6.97	11.24
15	Repack	17.39	0.82
15	Minimize	6.97	11.25
16	Repack	17.42	0.79
16	Minimize	6.97	11.24
17	Repack	17.41	0.80
17	Minimize	6.97	11.24
18	Repack	17.41	0.80
18	Minimize	6.97	11.24
19	Repack	17.40	0.82
19	Minimize	6.97	11.24
20	Repack	17.42	0.79
20	Minimize	6.97	11.25
21	Repack	17.41	0.80
21	Minimize	6.97	11.24
22	Repack	17.39	0.82
22	Minimize	6.97	11.24
23	Repack	17.41	0.80
23	Minimize	6.97	11.24
24	Repack	17.41	0.80
24	Minimize	6.97	11.24
25	Repack	17.43	0.78
25	Minimize	6.97	11.24
