Cycle	Protocol	Energy	Improvement
0	Initial	8.77	0.00
1	FastRelax	-7.64	16.40
1	Repack	19.28	-10.51
1	Minimize	-2.57	11.33
2	Repack	4.13	4.64
2	Minimize	-8.11	16.87
3	Repack	-0.86	9.63
3	Minimize	-8.13	16.89
4	Repack	0.04	8.73
4	Minimize	-8.13	16.89
5	Repack	-0.11	8.87
5	Minimize	-8.13	16.89
6	Repack	-0.07	8.83
6	Minimize	-8.13	16.89
7	Repack	-0.07	8.84
7	Minimize	-8.13	16.89
8	Repack	-0.07	8.84
8	Minimize	-8.13	16.89
9	Repack	-0.09	8.85
9	Minimize	-8.13	16.89
10	Repack	-0.10	8.86
10	Minimize	-8.13	16.89
11	Repack	-0.10	8.86
11	Minimize	-8.13	16.89
12	Repack	-0.06	8.82
12	Minimize	-8.13	16.89
13	Repack	-0.03	8.79
13	Minimize	-8.13	16.89
14	Repack	-0.08	8.84
14	Minimize	-8.13	16.89
15	Repack	-0.09	8.86
15	Minimize	-8.13	16.89
16	Repack	-0.10	8.87
16	Minimize	-8.13	16.89
17	Repack	-0.08	8.84
17	Minimize	-8.13	16.89
18	Repack	-0.06	8.82
18	Minimize	-8.13	16.89
19	Repack	-0.08	8.85
19	Minimize	-8.13	16.89
20	Repack	-0.07	8.83
20	Minimize	-8.13	16.89
21	Repack	-0.07	8.84
21	Minimize	-8.13	16.89
22	Repack	-0.09	8.85
22	Minimize	-8.13	16.89
23	Repack	-0.05	8.81
23	Minimize	-8.13	16.89
24	Repack	-0.04	8.81
24	Minimize	-8.13	16.89
25	Repack	-0.04	8.81
25	Minimize	-8.13	16.89
