Cycle	Protocol	Energy	Improvement
0	Initial	14.46	0.00
1	FastRelax	10.31	4.14
1	Repack	85.40	-70.95
1	Minimize	13.33	1.13
2	Repack	30.00	-15.54
2	Minimize	13.28	1.18
3	Repack	26.09	-11.64
3	Minimize	13.26	1.19
4	Repack	26.13	-11.67
4	Minimize	13.26	1.19
5	Repack	25.90	-11.44
5	Minimize	13.26	1.19
6	Repack	25.56	-11.11
6	Minimize	13.26	1.19
7	Repack	25.60	-11.14
7	Minimize	13.27	1.19
8	Repack	25.84	-11.38
8	Minimize	13.26	1.20
9	Repack	26.03	-11.57
9	Minimize	13.26	1.19
10	Repack	25.66	-11.21
10	Minimize	13.26	1.19
11	Repack	25.71	-11.26
11	Minimize	13.26	1.19
12	Repack	25.74	-11.29
12	Minimize	13.27	1.19
13	Repack	25.69	-11.24
13	Minimize	13.27	1.19
14	Repack	25.82	-11.37
14	Minimize	13.27	1.19
15	Repack	25.84	-11.39
15	Minimize	13.26	1.19
16	Repack	25.81	-11.36
16	Minimize	13.27	1.19
17	Repack	25.86	-11.41
17	Minimize	13.26	1.19
18	Repack	25.72	-11.27
18	Minimize	13.27	1.19
19	Repack	25.70	-11.25
19	Minimize	13.26	1.19
20	Repack	25.92	-11.47
20	Minimize	13.26	1.19
21	Repack	25.74	-11.28
21	Minimize	13.27	1.19
22	Repack	25.80	-11.34
22	Minimize	13.27	1.19
23	Repack	25.67	-11.21
23	Minimize	13.27	1.19
24	Repack	25.89	-11.44
24	Minimize	13.27	1.19
25	Repack	25.64	-11.19
25	Minimize	13.26	1.19
