Cycle	Protocol	Energy	Improvement
0	Initial	15.47	0.00
1	FastRelax	12.30	3.16
1	Repack	29.50	-14.04
1	Minimize	18.69	-3.22
2	Repack	19.67	-4.20
2	Minimize	13.50	1.97
3	Repack	17.71	-2.24
3	Minimize	1.95	13.51
4	Repack	57.99	-42.53
4	Minimize	-4.79	20.26
5	Repack	64.22	-48.75
5	Minimize	-5.64	21.11
6	Repack	19.04	-3.57
6	Minimize	-5.68	21.14
7	Repack	9.23	6.24
7	Minimize	-6.62	22.09
8	Repack	10.90	4.57
8	Minimize	-6.59	22.06
9	Repack	10.35	5.12
9	Minimize	-7.22	22.69
10	Repack	14.15	1.32
10	Minimize	-7.22	22.68
11	Repack	12.84	2.63
11	Minimize	-7.22	22.68
12	Repack	13.22	2.25
12	Minimize	-7.22	22.68
13	Repack	13.12	2.35
13	Minimize	-7.22	22.68
14	Repack	13.18	2.29
14	Minimize	-7.22	22.68
15	Repack	13.05	2.42
15	Minimize	-7.22	22.69
16	Repack	13.13	2.34
16	Minimize	-7.22	22.68
17	Repack	13.15	2.32
17	Minimize	-7.22	22.68
18	Repack	13.16	2.31
18	Minimize	-7.22	22.68
19	Repack	13.16	2.31
19	Minimize	-7.22	22.68
20	Repack	13.10	2.37
20	Minimize	-7.22	22.68
21	Repack	13.11	2.36
21	Minimize	-7.22	22.69
22	Repack	13.14	2.32
22	Minimize	-7.21	22.68
23	Repack	13.09	2.38
23	Minimize	-7.22	22.68
24	Repack	13.11	2.36
24	Minimize	-7.22	22.68
25	Repack	13.20	2.27
25	Minimize	-7.22	22.68
