Cycle	Protocol	Energy	Improvement
0	Initial	21.01	0.00
1	FastRelax	11.14	9.86
1	Repack	23.45	-2.45
1	Minimize	13.57	7.44
2	Repack	13.59	7.42
2	Minimize	12.16	8.85
3	Repack	12.94	8.07
3	Minimize	12.16	8.85
4	Repack	12.98	8.03
4	Minimize	12.17	8.84
5	Repack	12.97	8.04
5	Minimize	12.17	8.84
6	Repack	12.98	8.03
6	Minimize	12.16	8.85
7	Repack	12.98	8.03
7	Minimize	12.16	8.84
8	Repack	12.97	8.04
8	Minimize	12.16	8.85
9	Repack	12.97	8.04
9	Minimize	12.17	8.84
10	Repack	12.96	8.05
10	Minimize	12.16	8.84
11	Repack	12.98	8.03
11	Minimize	12.16	8.85
12	Repack	12.97	8.04
12	Minimize	12.17	8.84
13	Repack	12.96	8.04
13	Minimize	12.16	8.84
14	Repack	12.97	8.04
14	Minimize	12.16	8.84
15	Repack	12.97	8.04
15	Minimize	12.16	8.84
16	Repack	12.97	8.04
16	Minimize	12.16	8.84
17	Repack	12.97	8.04
17	Minimize	12.17	8.84
18	Repack	12.96	8.04
18	Minimize	12.17	8.84
19	Repack	12.97	8.04
19	Minimize	12.17	8.84
20	Repack	12.97	8.04
20	Minimize	12.16	8.84
21	Repack	12.97	8.04
21	Minimize	12.16	8.84
22	Repack	12.97	8.04
22	Minimize	12.16	8.84
23	Repack	12.98	8.03
23	Minimize	12.16	8.84
24	Repack	12.97	8.04
24	Minimize	12.16	8.84
25	Repack	12.98	8.03
25	Minimize	12.16	8.84
